,County,State,latitude,longitude,FIPS,Genre
0,Aleutians East ,AK,55.2,-161.9,2013,Rock
1,Aleutians West ,AK,52.2,-175.1,2016,Rock
2,Anchorage,AK,61.2,-149.2,2020,Rock
3,Bethel,AK,60.9,-160.1,2050,Rock
4,Bristol Bay,AK,58.7,-157.0,2060,Rock
5,Dillingham,AK,59.9,-158.4,2070,Rock
6,Fairbanks North Star,AK,64.8,-146.6,2090,Rock
7,Haines,AK,59.2,-135.4,2100,Rock
8,Juneau,AK,58.4,-134.1,2110,Rock
9,Kenai Peninsula,AK,60.2,-151.6,2122,Rock
10,Ketchikan Gateway,AK,55.5,-131.4,2130,Rock
11,Kodiak Island,AK,57.7,-153.8,2150,Rock
12,Lake and Peninsula,AK,58.4,-156.2,2164,Rock
13,Matanuska-Susitna,AK,62.4,-149.6,2170,Rock
14,Nome,AK,64.7,-164.2,2180,Rock
15,North Slope,AK,69.3,-153.4,2185,Rock
16,Northwest Arctic,AK,67.0,-160.0,2188,Rock
17,Prince of Wales-Outer Ketchikan,AK,55.5,-132.1,2130,Rock
18,Sitka,AK,57.2,-135.4,2220,Rock
19,Skagway-Yakutat-Angoon,AK,58.8,-136.6,2105,Rock
20,Southeast,AK,63.8,-143.6,2240,Rock
21,Valdez-Cordova,AK,61.4,-144.5,2261,Rock
22,Wade,AK,62.1,-163.5,2270,Rock
23,Wrangell-Petersburg,AK,56.5,-133.0,2195,Rock
24,Yukon-Koyukuk,AK,65.3,-151.6,2290,Rock
25,Autauga,AL,32.5,-86.6,1001,Rock
26,Baldwin,AL,30.7,-87.8,1003,House
27,Barbour,AL,31.9,-85.4,1005,Rock
28,Bibb,AL,33.0,-87.1,1007,Rock
29,Blount,AL,34.0,-86.6,1009,Rock
30,Bullock,AL,32.1,-85.7,1011,Rock
31,Butler,AL,31.8,-86.7,1013,Rock
32,Calhoun,AL,33.8,-85.8,1015,Rock
33,Chambers,AL,32.9,-85.4,1017,Rock
34,Cherokee,AL,34.2,-85.6,1019,Rock
35,Chilton,AL,32.8,-86.7,1021,Rock
36,Choctaw,AL,32.0,-88.3,1023,Rock
37,Clarke,AL,31.7,-87.8,1025,Rock
38,Clay,AL,33.3,-85.9,1027,Rock
39,Cleburne,AL,33.7,-85.5,1029,Rock
40,Coffee,AL,31.4,-86.0,1031,Rock
41,Colbert,AL,34.7,-87.8,1033,Reggae
42,Conecuh,AL,31.4,-87.0,1035,Rock
43,Coosa,AL,32.9,-86.2,1037,Rock
44,Covington,AL,31.2,-86.5,1039,Rock
45,Crenshaw,AL,31.7,-86.3,1041,Rock
46,Cullman,AL,34.1,-86.9,1043,Rock
47,Dale,AL,31.4,-85.6,1045,Rock
48,Dallas,AL,32.3,-87.1,1047,Rock
49,DeKalb,AL,34.5,-85.8,1049,Rock
50,Elmore,AL,32.6,-86.1,1051,Rock
51,Escambia,AL,31.1,-87.2,1053,Rock
52,Etowah,AL,34.0,-86.0,1055,Rock
53,Fayette,AL,33.7,-87.7,1057,Reggae
54,Franklin,AL,34.4,-87.8,1059,Reggae
55,Geneva,AL,31.1,-85.8,1061,Rock
56,Greene,AL,32.9,-88.0,1063,Rock
